WHITEBOX TOOL INVENTORY - SPREADSHEET FORMAT (2026-03-24)

CATEGORY SUMMARY TAB
Category	Legacy_Count	Ported_Count	New_Tools_Count	Remaining_To_Port	Status	Platform	Notes
Agriculture	6	6	0	0	Complete	wbtools_pro	All Pro-tier precision agriculture tools; full callback support
Data Tools	27	27	0	0	Complete	wbtools_oss	Format conversion and vector cleansing; geometry validation
Geomorphometry	100	100+	Multiple	0	Complete+Enhanced	wbtools_oss/pro	Parity + modernized implementations; multi-scale analysis
GIS (Overlay/Analysis)	102	105	3	0	Complete+New	wbtools_oss/pro	Raster overlay + aggregation/interpolation + workflow wrappers; 3 new enhancements
Hydrology	60	60	0	0	Complete	wbtools_oss	Depression removal + flow algorithms + diagnostics + watersheds
Remote Sensing	82	82+	Multiple	0	Complete+Enhanced	wbtools_oss/pro	Image filters + classification + ML; enhanced implementations
LiDAR Processing	63	64	1	0	Complete+Enhanced	wbtools_oss/pro	Phases 1-3 done; CRS propagation; batch-mode support; 1 dormant legacy exception + 1 workflow wrapper
Stream Network Analysis	26	29	3	0	Complete+Enhanced	wbtools_oss/pro	Stream ordering + magnitude + link analysis + vector topology repair + workflow wrappers
Math & Statistics	99	98	0	0	Complete	wbtools_oss	All legacy except 1 intentional exception (hdbscan_clustering)
TOTAL	619	543*	Multi	0	100% Parity	Mixed	*543 unique registered (529 OSS + 30 Pro, accounting for overlaps)

---

AGRICULTURE TOOLS (6 tools)
Tool_Name	Status	Platform	Type	Legacy_Equivalent	Notes	Python_Wrapper_Status
recreate_pass_lines	done	wbtools_pro	Vector	Yes	Pass-line reconstruction from yield data
yield_filter	done	wbtools_pro	Vector	Yes	Statistical outlier filtering in yield maps
yield_map	done	wbtools_pro	Vector	Yes	Yield polygon generation from pass lines
yield_normalization	done	wbtools_pro	Vector	Yes	Yield standardization and scaling
remove_field_edge_points	done	wbtools_pro	Vector	Yes	Edge-effect removal from yield data
reconcile_multiple_headers	done	wbtools_pro	Vector	Yes	Multi-header yield aggregation

---

DATA TOOLS (27 tools)
Tool_Name	Status	Platform	Type	Notes	Python_Wrapper_Status
add_point_coordinates_to_table	done	wbtools_oss	Vector	Append XCOORD, YCOORD fields from point geometry
clean_vector	done	wbtools_oss	Vector	Remove null and invalid geometries
convert_nodata_to_zero	done	wbtools_oss	Raster	Replace nodata with 0
csv_points_to_vector	done	wbtools_oss	Vector	Import point features from CSV
export_table_to_csv	done	wbtools_oss	Vector	Export attribute table to CSV
fix_dangling_arcs	done	wbtools_oss	Vector	Snap undershot/overshot line endpoints
join_tables	done	wbtools_oss	Vector	Join attribute tables by field
lines_to_polygons	done	wbtools_oss	Vector	Close line features into polygons
merge_table_with_csv	done	wbtools_oss	Vector	Merge CSV data into attribute table
merge_vectors	done	wbtools_oss	Vector	Combine multiple vector layers
modify_nodata_value	done	wbtools_oss	Raster	Change nodata value in raster
multipart_to_singlepart	done	wbtools_oss	Vector	Explode multipart geometries
new_raster_from_base_raster	done	wbtools_oss	Raster	Create blank raster from template
new_raster_from_base_vector	done	wbtools_oss	Raster	Create blank raster from vector extent
polygons_to_lines	done	wbtools_oss	Vector	Convert polygon boundaries to lines
print_geotiff_tags	done	wbtools_oss	Raster	Display GeoTIFF metadata tags
raster_to_vector_lines	done	wbtools_oss	Vector	Vectorize raster line features
raster_to_vector_polygons	done	wbtools_oss	Vector	Vectorize raster polygon patches
raster_to_vector_points	done	wbtools_oss	Vector	Sample raster as point features
reinitialize_attribute_table	done	wbtools_oss	Vector	Reset attribute table structure
remove_polygon_holes	done	wbtools_oss	Vector	Remove holes from polygon features
remove_raster_polygon_holes	done	wbtools_oss	Raster	Remove holes from raster patches
set_nodata_value	done	wbtools_oss	Raster	Define nodata value in raster
singlepart_to_multipart	done	wbtools_oss	Vector	Merge single geometries into multi-part
vector_lines_to_raster	done	wbtools_oss	Raster	Rasterize line features
vector_polygons_to_raster	done	wbtools_oss	Raster	Rasterize polygon features
vector_points_to_raster	done	wbtools_oss	Raster	Rasterize point features

---

GEOMORPHOMETRY (100+ tools)
Tool_Name	Status	Platform	Notes	Python_Wrapper_Status
aspect	done	wbtools_oss	Slope aspect in degrees clockwise from north
slope	done	wbtools_oss	Slope gradient (degrees/radians/percent)
elevation_percentile	done	wbtools_oss	Elevation ranking within terrain context
curvedness	done	wbtools_oss	Combined curvature magnitude
mean_curvature	done	wbtools_oss	Average principal curvature
profile_curvature	done	wbtools_oss	Slope curvature in flow direction
plan_curvature	done	wbtools_oss	Slope curvature perpendicular to flow
tangential_curvature	done	wbtools_oss	Contour curvature; alternative: plan curvature
total_curvature	done	wbtools_oss	Sum of absolute principal curvatures
casorati_curvature	done	wbtools_oss	Casorati curvature (Gaussian/product curvature)
gaussian_curvature	done	wbtools_oss	Product of principal curvatures
horizontal_excess_curvature	done	wbtools_oss	Plan curvature excess
vertical_excess_curvature	done	wbtools_oss	Profile curvature excess
maximal_curvature	done	wbtools_oss	Maximum principal curvature
minimal_curvature	done	wbtools_oss	Minimum principal curvature
difference_curvature	done	wbtools_oss	Curvature difference metric
ring_curvature	done	wbtools_oss	Circular terrain curvature
accumulation_curvature	done	wbtools_oss	Flow-weighted curvature
multiscale_curvatures	done	wbtools_pro	Multi-scale curvature analysis; NEW_ENHANCEMENT
hillshade	done	wbtools_oss	Shaded relief visualization
sky_view_factor	done	wbtools_oss	Sky visibility index (0-1)
openness	done	wbtools_oss	Positive and negative openness metrics
visibility_index	done	wbtools_oss	Terrain visibility from point/raster
viewshed	done	wbtools_oss	Grid-based viewshed from DEM
horizon_angle	done	wbtools_oss	Maximum horizon angle from point
horizon_area	done	wbtools_pro	Terrain area visible to horizon
average_horizon_distance	done	wbtools_pro	Mean visible distance to horizon
exposure_towards_wind_flux	done	wbtools_oss	Wind exposure metric
ruggedness_index	done	wbtools_oss	Terrain roughness index
surface_area_ratio	done	wbtools_oss	Actual vs. projected surface area
slope_vs_aspect_plot	done	wbtools_pro	Diagnostic visualization
slope_vs_elev_plot	done	wbtools_oss	Diagnostic visualization
standard_deviation_of_slope	done	wbtools_oss	Slope variability over neighborhood
topographic_hachures	done	wbtools_pro	Decorative slope-based rendering
relief	done	wbtools_oss	Directional relief metric
relative_topographic_position	done	wbtools_oss	Relative elevation percentile
relative_aspect	done	wbtools_oss	Aspect relative to slope direction
elevation_relative_to_min_max	done	wbtools_oss	Normalized elevation (0-1)
elevation_relative_to_watershed_min_max	done	wbtools_oss	Watershed-relative elevation
elevation_percentile	done	wbtools_oss	Percentile rank of elevation
max_elevation_deviation	done	wbtools_oss	Max deviation from mean in neighborhood
difference_from_mean_elevation	done	wbtools_oss	Individual point vs. mean
max_difference_from_mean	done	wbtools_oss	Max difference in neighborhood
deviation_from_mean_elevation	done	wbtools_oss	Signed elevation deviation
elev_above_pit	done	wbtools_oss	Elevation above nearest pit
elev_above_pit_dist	done	wbtools_oss	Distance to nearest pit
percent_elev_range	done	wbtools_oss	Elevation as % of local range
max_downslope_elev_change	done	wbtools_oss	Maximum downslope gradient
max_upslope_elev_change	done	wbtools_oss	Maximum upslope gradient
min_downslope_elev_change	done	wbtools_oss	Minimum downslope gradient
downslope_index	done	wbtools_oss	Downslope flow magnitude metric
num_downslope_neighbours	done	wbtools_oss	Count of downslope neighbors
num_upslope_neighbours	done	wbtools_oss	Count of upslope neighbors
relative_stream_power_index	done	wbtools_oss	Stream power index (normalized)
sediment_transport_index	done	wbtools_oss	Sediment transport capacity metric
topographic_position_animation	done	wbtools_pro	Animated TPI classification
multiscale_topographic_position_image	done	wbtools_oss	Multi-scale TPI; NEW_ENHANCEMENT
multiscale_elevation_percentile	done	wbtools_oss	Multi-scale elevation ranking; NEW_ENHANCEMENT
multiscale_elevated_index	done	wbtools_oss	Multi-scale elevated terrain index; NEW_ENHANCEMENT
multiscale_low_lying_index	done	wbtools_oss	Multi-scale depression index; NEW_ENHANCEMENT
multiscale_roughness	done	wbtools_oss	Multi-scale surface roughness; NEW_ENHANCEMENT
multiscale_roughness_signature	done	wbtools_oss	Multi-scale roughness profile; NEW_ENHANCEMENT
multiscale_std_dev_normals	done	wbtools_oss	Multi-scale surface normal variation; NEW_ENHANCEMENT
